,sentence
2554,select Project B) 16.
2555,"Mr. A is considering two mutually exclusive investment projects, from following information  select  the  Project  on  the  basis  of  standard  deviation  and  co-efficient of  variation  method."
2556,Cash  Cash inflow Year 1 2 3 4  Rs.
2557,"3,000 4,000 7,000 6,000  Project I Rs."
2558,"15,000."
2559,Project II Rs.
2560,"15,000  Probabilities  Rs."
2561,"Probabilities  .3 .2 .3 .2  4,000 6,000 7,000 3,000  .1 .4 .3 .2  (Ans."
2562,I Rs.
2563,1673 and 33.46% II Rs.
2564,1581 and 31.62% Select Project II) 17.
2565,Mr.  X  is  considering  the  project  an  investment  of  Rs.
2566,"26,000."
2567,"The  expensed  returns  during  the  life  if  the  project  of  are  as  follows:  Year I   Event  Cash inflow  Probability  a b c  12,000 14,000 9,000  .2 .6 .2  Year II Cash  inflows  is  year  I  are."
2568,Rs.
2569,"12,000  Rs."
2570,"14,000  Rs."
2571,"9,000  Cash inflow  Probability Cash inflow Probability Cash inflow Probability  1 2 3  18,000 20,000 20,000  .3 .4 .3  22,000 26,000 30,000  .2 .7 .1  28,000 32,000 35,000  .4 .5 .1  Using  10%  as  the  use  of  capital,  advise  about  the  acceptability  of  the  proposal."
2572,(Ans.
2573,Accept the project because+Rs.
2574,6657 at 10%)  This page  intentionally left  blank  INTRODUCTION Working capital management is also one of the important parts of the financial management.
2575,It is concerned with short-term finance of the business concern which is a closely related trade  between  profitability  and  liquidity.
2576,Efficient  working  capital  management  leads  to improve the operating performance of the business concern and it helps to meet the short- term liquidity.
2577,"Hence, study of working capital management is not only an important part of financial management but also are overall management of the business concern."
2578,Working  capital  is  described  as  the  capital  which  is  not  fixed  but  the  more  common uses of the working capital is to consider it as the difference between the book value of current assets and current liabilities.
2579,This  chapter  deals  with  the  following  important  aspects  of  the  working  capital  management.
2580,Meaning  of  Working  Capital (cid:127) Concept  of  Working  Capital (cid:127) Types  of  Working  Capital (cid:127) Needs  of  Working  Capital (cid:127) Factors  determining  Working  Capital (cid:127) Computation  of  Working  Capital (cid:127) Sources  of  Working  Capital (cid:127) Working  Capital  Management  Policy (cid:127) Working  Capital  and  Banking  Committee  MEANING OF WORKING CAPITAL Capital of the concern may be divided into two major headings.
2581,150  Financial Management  Capital  Fixed Capital  Working Capital  Fig.
2582,"10.1 Capital of the Business  Fixed capital means that capital, which is used for long-term investment of the business concern."
2583,"For example, purchase of permanent assets."
2584,Normally it consists of non-recurring in nature.
2585,Working Capital is another part of the capital which is needed for meeting day to day requirement  of  the  business  concern.
2586,"For  example,  payment  to  creditors,  salary  paid  to workers, purchase of raw materials etc., normally it consists of recurring in nature."
2587,It can be easily converted into cash.
2588,"Hence, it is also known as short-term capital."
2589,"Definitions According to the definition of Mead, Baker and Malott,    Working Capital means Current Assets   ."
2590,"According to the definition of J.S.Mill,    The sum of the current asset is the working  capital of a business   ."
2591,"According  to  the  definition  of  Weston  and  Brigham,     Working  Capital  refers  to  a firm   s  investment  in  short-term  assets,  cash,  short-term  securities,  accounts  receivables and  inventories   ."
2592,"According to the definition of Bonneville,    Any acquisition of funds which increases  the current assets, increase working capital also for they are one and the same   ."
2593,"According  to  the  definition  of  Shubin,     Working  Capital  is  the  amount  of  funds  necessary to cover the cost of operating the enterprises   ."
2594,"According to the definition of Genestenberg,    Circulating capital means current assets of a company that are changed in the ordinary course of business from one form to another, for example, from cash to inventories, inventories to receivables, receivables to cash   ."
2595,CONCEPT OF WORKING CAPITAL Working capital can be classified or understood with the help of the following two important concepts.
2596,Working Capital  151  Gross Working Capital  Net Working Capital  Fig.
2597,10.2 Working Capital Concept  Gross Working Capital Gross Working Capital is the general concept which determines the working capital concept.
2598,"Thus, the gross working capital is the capital invested in total current assets of the business concern."
2599,Gross Working Capital is simply called as the total current assets of the concern.
2600,"GWC = CA  Net Working Capital Net  Working  Capital  is  the  specific  concept,  which,  considers  both  current  assets  and current liability of the concern."
2601,Net Working Capital is the excess of current assets over the current liability of the  concern during a particular period.
2602,"If  the  current  assets  exceed  the  current  liabilities  it  is  said  to  be  positive  working  capital; it is reverse, it is said to be Negative working capital."
2603,NWC = C A     CL  Component of Working Capital Working  capital  constitutes  various  current  assets  and  current  liabilities.
2604,This  can  be illustrated by the following chart.
2605,152  Financial Management  Working Capital  Current Assets  Current  Liability  Cash in Hand  Cash at Bank  Bills Receivable  Sundry Debtors  Shotr-term Loans Advances  Inventories  Prepaid Expenses  Accrued Income  Bills Payable  Sundry Creditors  Outstanding Expenses  Short-term Loans and Advances  Dividend Payable  Bank Overdraft  Provision for Taxation  TYPES OF WORKING CAPITAL Working Capital may be classified into three important types on the basis of time.
2606,Working Capital  Permanent  Working Capital  Temporary  Working Capital  Semi Variable Working Capital  Seasonal Working   Capital  Special Working  Capital  Fig.
2607,10.3 Types of Working Capital  Permanent Working Capital It  is  also  known  as  Fixed  Working  Capital.
2608,It  is  the  capital;  the  business  concern  must maintain certain amount of capital at minimum level at all times.
2609,The level of Permanent Capital depends upon the nature of the business.
2610,Permanent or Fixed Working Capital will not change irrespective of time or volume of sales.
2611,Working Capital  153  Permanent Working Capital  Amount of   Working Capital  Time  Fig.
2612,10.4 Permanent Working Capital  Temporary Working Capital It is also known as variable working capital.
2613,It is the amount of capital which is required to meet  the  Seasonal  demands  and  some  special  purposes.
2614,It  can  be  further  classified  into Seasonal Working Capital and Special Working Capital.
2615,The  capital  required  to  meet  the  seasonal  needs  of  the  business  concern  is  called  as Seasonal  Working  Capital.
2616,"The  capital  required  to  meet  the  special  exigencies  such  as launching of extensive marketing campaigns for conducting research, etc."
2617,Amount of Working  Capital  Temporary Working  Capital  Time  Fig.
2618,10.5 Temporary Working Capital  Semi Variable Working Capital Certain amount of Working Capital is in the field level up to a certain stage and after that it will increase depending upon the change of sales or time.
2619,Semi Variable Working Capital  Amount of  Working Capital  Time  Fig.
2620,10.6  Semi Variable  Working Capital  154  Financial Management  NEEDS OF WORKING CAPITAL Working Capital is an essential part of the business concern.
2621,Every business concern must maintain  certain  amount  of  Working  Capital  for  their  day-to-day  requirements  and  meet the  short-term  obligations.
2622,Working Capital is needed for the following purposes.
2623,1.
2624,"Purchase of raw materials and spares: The basic part of manufacturing process is,  raw  materials."
2625,It  should  purchase  frequently  according  to  the  needs  of  the business  concern.
2626,"Hence,  every  business  concern  maintains  certain  amount  as Working  Capital  to  purchase  raw  materials,  components,  spares,  etc."
2627,2.
2628,Payment of wages and salary: The next part of Working Capital is payment of wages  and  salaries  to  labour  and  employees.
2629,Periodical  payment  facilities  make employees  perfect  in  their  work.
2630,So  a  business  concern  maintains  adequate  the amount  of  working  capital  to  make  the  payment  of  wages  and  salaries.
2631,3.
2632,"Day-to-day  expenses:  A  business  concern  has  to  meet  various  expenditures  regarding  the  operations  at  daily  basis  like  fuel,  power,  office  expenses,  etc."
2633,4.
2634,Provide  credit  obligations:  A  business  concern  responsible  to  provide  credit facilities to the customer and meet the short-term obligation.
2635,So the concern must provide  adequate  Working  Capital.
2636,Working Capital Position/ Balanced Working Capital Position.
2637,A business concern must maintain a sound Working Capital position to improve the efficiency of business operation and efficient management of finance.
2638,Both excessive and inadequate Working Capital lead to some problems in the business concern.
2639,A.
2640,Causes  and  effects  of  excessive  working  capital.
2641,"(i)  (ii) (iii) (iv)  Excessive  Working  Capital  leads  to  unnecessary  accumulation  of  raw materials,  components  and  spares."
2642,Excessive  Working  Capital  results  in  locking  up  of  excess  Working  Capital.
2643,"It  creates  bad  debts,  reduces  collection  periods,  etc."
2644,It  leads  to  reduce  the  profits.
2645,B.
2646,Causes  and  effects  of  inadequate  working  capital  (i) (ii)  (iii) (iv)  (v)  Inadequate  working  capital  cannot  buy  its  requirements  in  bulk  order.
2647,It  becomes  difficult  to  implement  operating  plans  and  activate  the  firm   s profit  target.
2648,It  becomes  impossible  to  utilize  efficiently  the  fixed  assets.
2649,The  rate  of  return  on  investments  also  falls  with  the  shortage  of  Working Capital.
2650,It  reduces  the  overall  operation  of  the  business.
2651,Working Capital  155   FACTORS DETERMINING WORKING CAPITAL REQUIREMENTS Working Capital requirements depends upon various factors.
2652,There are no set of rules or formula  to  determine  the  Working  Capital  needs  of  the  business  concern.
2653,The  following are the major factors which are determining the Working Capital requirements.
2654,Factors  Factors  Working  Capital  Determinants  Factors  Fig.
2655,10.7 Factors  Determining Working Capital Requirements  Factors  1.
2656,Nature  of  business:  Working  Capital  of  the  business  concerns  largely  depend upon the nature of the business.
2657,"If the business concerns follow rigid credit policy and sell goods only for cash, they can maintain lesser amount of Working Capital."
2658,A  transport  company  maintains  lesser  amount  of  Working  Capital  while  a construction  company  maintains  larger  amount  of  Working  Capital.
2659,2.
2660,Production  cycle:  Amount  of  Working  Capital  depends  upon  the  length  of  the production  cycle.
2661,"If  the  production  cycle  length  is  small,  they  need  to  maintain lesser amount of Working Capital."
2662,"If it is not, they have to maintain large amount of  Working  Capital."
2663,3. Business cycle: Business fluctuations lead to cyclical and seasonal changes in the business condition and it will affect the requirements of the Working Capital.
2664,"In the  booming  conditions,  the  Working  Capital  requirement  is  larger  and  in  the depression condition, requirement of Working Capital will reduce."
2665,Better business results  lead  to  increase  the  Working  Capital  requirements.
2666,4.
2667,Production policy: It is also one of the factors which affects the Working Capital requirement  of  the  business  concern.
2668,"If  the  company  maintains  the  continues production  policy,  there  is  a  need  of  regular  Working  Capital."
2669,"If  the  production policy of the company depends upon the situation or conditions, Working Capital requirement  will  depend  upon  the  conditions  laid  down  by  the  company."
2670,156  Financial Management  5. Credit policy: Credit policy of sales and purchase also affect the Working Capital requirements  of  the  business  concern.
2671,"If  the  company  maintains  liberal  credit policy  to  collect  the  payments  from  its  customers,  they  have  to  maintain  more Working Capital."
2672,If the company pays the dues on the last date it will create the cash  maintenance  in  hand  and  bank.
2673,6.
2674,"Growth  and  expansion:  During  the  growth  and  expansion  of  the  business concern, Working Capital requirements are higher, because it needs some additional Working  Capital  and  incurs  some  extra  expenses  at  the  initial  stages."
2675,7.
2676,Availability of raw materials: Major part of the Working Capital requirements are largely depend on the availability of raw materials.
2677,Raw materials are the basic components of the production process.
2678,"If the raw material is not readily available, it  leads  to  production  stoppage."
2679,"So,  the  concern  must  maintain  adequate  raw material;  for  that  purpose,  they  have  to  spend  some  amount  of  Working  Capital."
2680,8.
2681,"Earning  capacity:  If  the  business  concern  consists  of  high  level  of  earning capacity,  they  can  generate  more  Working  Capital,  with  the  help  of  cash  from operation."
2682,Earning  capacity  is  also  one  of  the  factors  which  determines  the Working  Capital  requirements  of  the  business  concern.
2683,"COMPUTATION (OR ESTIMATION) OF WORKING CAPITAL Working Capital requirement depends upon number of factors, which are already discussed in the previous parts."
2684,Now the discussion is on how to calculate the Working Capital needs of the business concern.
2685,It may also depend upon various factors but some of the common methods are used to estimate the Working Capital.
2686,A. Estimation  of  components  of  working  capital  method  Working  capital  consists  of  various  current  assets  and  current  liabilities.
2687,"Hence, we  have  to  estimate  how  much  current  assets  as  inventories  required  and  how much  cash  required  to  meet  the  short  term  obligations."
2688,Finance  Manager  first  estimates  the  assets  and  required  Working  Capital  for  a particular  period.
2689,B.
2690,"Percent  of  sales  method  Based  on  the  past  experience  between  Sales  and  Working  Capital  requirements,  a ratio can be determined for estimating the Working Capital requirement in future."
2691,It is the simple and tradition method to estimate the Working Capital requirements.
2692,"Under this method, first we have to find out the sales to Working Capital ratio and based on that we have to estimate Working Capital requirements."
2693,This method also expresses  the  relationship  between  the  Sales  and  Working  Capital.
2694,C. Operating  cycle  Working  Capital  requirements  depend  upon  the  operating  cycle  of  the  business.
2695,The  operating  cycle  begins  with  the  acquisition  of  raw  material  and  ends  with the  collection  of  receivables.
2696,Working Capital  157  Operating cycle consists of the following important stages: 1.
2697,"Raw  Material  and  Storage  Stage,  (R) 2."
2698,"Work  in  Process  Stage,  (W) 3."
2699,"Finished  Goods  Stage,  (F) 4."
2700,"Debtors  Collection  Stage,  (D) 5."
2701,Creditors  Payment  Period  Stage.
2702,(C)  O = R + W + F + D   C  D  R  F  W  Fig.
2703,10.8  Working Capital Cycle  Each component of the operating cycle can be calculated by the following formula:  R =  Average Stock of Raw Material  Average Raw Material Consumption Per Day  W =  Average Work in Process Inventory Average Cost of Production Per Day  F =  Average Finished Stock Inventory Average Cost of Goods Sold Per Day  Average Book Debts  Average Credit Sales Per Day Average Trade Creditors  D =  C =    Average Credit Purchase Per Day   .
2704,"Exercise  1 From the following information extracted from the books of a manufacturing company,  compute the operating cycle in days and the amount of working capital required:  158  Financial Management  Period  Covered Average period of credit allowed by suppliers Average  Total  of  Debtors  Outstanding Raw Material Consumption Total  Production  Cost Total Cost of Sales Sales for the year Value of Average Stock maintained: Raw Material Work-in-progress Finished  Goods  365 days 16 days 480 00 4,400 00 10,000 00 10,500 00 16,000 00  320 00 350 00 260 00             (ICWA Final, JUNE, 1986 adapted)  Solution Computation of Operating Cycle (i) Raw  material  held  in  stock:  Average stocks of raw materials held  Average consumption per day   =  =  320  4,400    365  320    365   4,400   = 275 days                      Less:  Average  credit  period  granted  by  Suppliers   16 days  11 days  (ii)    Work-in-progress:  Average WIP maintained  Average cost of production per day  (iii) Finished  good  held  in  stock:  Average finished goods maintained  Average cost of goods sold per days  =  =  =  =  350  10,000/365  365    320  10,000   = 13 days  260  10,500/365  260    365 10,500 = 9 days  Working Capital  (iv)    Credit  period  allowed  to  debtors:  Average total of outstanding debtors  Average credit sales per day   =   480  16,000    365  159  = 365    480 16,000   =  11days  Total  operating  cycle  period:  (i)  +  (ii)  +  (iii)  +  (iv) =  44  days =  365/44 Number  of  Operating  cycles  in  a  year =  8.30  Amount  of  Working  Capital  required  =  Total operating cost  Number of operating  cycles in a year   = 10,500/8.3 =   Rs."
2705,"1,265  Alternatively,  the  amount  of  working  capital  could  have  also  been  calculated  by  estimating the components of working capital method, as shown below: 320 350 260 480 1,410 145 1,265  Value  of  Average  Stock  Maintained Raw  Material Work-in-progress Finished  Goods Average  Debtors  Outstanding: Less:  Average  Creditors  Outstanding  WORKING CAPITAL MANAGEMENT POLICY Working  Capital  Management  formulates  policies  to  manage  and  handle  efficiently;  for that purpose, the management established three policies based on the relationship between Sales and Working Capital."
2706,1.
2707,Conservative  Working  Capital  Policy.
2708,2.
2709,Moderate  Working  Capital  Policy.
2710,3.
2711,Aggressive  Working  Capital  Policy.
2712,1.
2713,Conservative working capital policy: Conservative Working Capital Policy refers to  minimize  risk  by  maintaining  a  higher  level  of  Working  Capital.
2714,This  type  of Working  Capital  Policy  is  suitable  to  meet  the  seasonal  fluctuation  of  the manufacturing  operation.
2715,160  Financial Management  2.
2716,Moderate working capital policy: Moderate Working Capital Policy refers to the moderate level of Working Capital maintainance according to moderate level of sales.
2717,"It means one percent of change in Working Capital, that is Working Capital is equal to  sales."
2718,3.
2719,"Aggressive  working  capital  policy:  Aggressive  Working  Capital  Policy  is  one of the high risky and profitability policies which maintains low level of Aggressive Working  Capital  against  the  high  level  of  sales,  in  the  business  concern  during a  particular  period."
2720,Current Assets  Conservative Policy  Moderate Policy  Aggressive Policy  Sales  Fig.
2721,10.9  Working Capital Policies  SOURCES OF WORKING CAPITAL Working  Capital  requirement  can  be  normalized  from  short-term  and  long-term  sources.
2722,Each source will have both merits and limitations up to certain extract.
2723,Uses of Working Capital may be differing from stage to stage.
2724,Sources  Long-term  Short-term  Shares    Debenture Public  Deposit  Loans from Financial Institutions  Retained Earning  Bank  Loan and  Credit  Arrangements  Advances  Short-term Instruments  Installment  Credit  Fig.
2725,10.10 Sources of Working Capital  Working Capital  161  The  above  sources  are  also  classified  into  internal  sources  and  external  sources  of  working capital.
2726,Internal sources such as: (cid:127) Retained  Earnings (cid:127) Reserve  and  Surplus (cid:127) Depreciation  Funds  etc.
2727,"External sources such as: (cid:127) Debentures  and  Public  Deposits (cid:127) Loans  from  Banks  and  Financial  Institutions (cid:127) Advances  and  Credit (cid:127) Financial  arrangements  like  Factoring,  etc."
2728,Determining the Finance Mix Determining the finance mix is an important part of working capital management.
2729,"Under this decision, the relationship among risk, return and liquidity are measured and also which type  of  financing  is  suitable  to  meet  the  Working  Capital  requirements  of  the  business concern."
2730,There are three basic approaches for determining an appropriate Working Capital finance mix.
2731,1.
2732,Hedging  or  matching  approach 2.
2733,Conservative  approach 3.
2734,Aggressive  approach.
2735,Hedging  Approach  Hedging  approach  is  also  known  as  matching  approach.
2736,"Under  this  approach,  the business concern can adopt a financial plan which matches the expected life of assets with the expected life of the sources of funds raised to finance assets."
2737,"When the business follows matching approach, long-term finance shall be used to fixed assets  and  permanent  current  assets  and  short-term  financing  to  finance  temporary  or variable assets."
2738,Temporary Current Assets Short-term  Assets  Permanent Current Assets  Financing  Long-term Financing  Fixed Assets   Time  Fig.
2739,"10.11 Financing under Matching Approach  162  Conservative Approach  Financial Management  Under this approach, the entire estimated finance in current assets should be financed from  long-term  sources  and  the  short-term  sources  should  be  used  only  for  emergency requirements."
2740,This approach is called as    Low Profit     Low Risk    concept.
2741,Temporary Current Assets  Short-term Financing  Assets  Permanent  Current  Assets  Fixed Assets   Time  Long-term Financing  Fig.
2742,"10.12 Conservative Approach  Aggressive  Approach  Under  this  approach,  the  entire  estimated  requirement  of  current  assets  should  be financed  from  short-term  sources  and  even  a  part  of  fixed  assets  financing  be  financed from short- term sources."
2743,"This approach makes the finance mix more risky, less costly and more  profitable."
2744,Temporary Current Assets  Assets  Permanent  Current Assets  Short-term Financing  Long-term Financing  Fixed Assets   Time  Fig.
2745,10.13 Aggressive Approach  Working Capital  163  WORKING CAPITAL AND BANKING COMMITTEE Banking finance to working capital requirements is a very important part of  the business concern.
2746,Banks provide finance to business concerns to meet the requirements.
2747,"To regulate and  control  bank  finance,  RBI  constitute  committees."
2748,These  committees  submit  reports with  findings  and  recommendations  to  formulate  the  finance  policy  of  the  banks.
2749,The major committee and the recommendations are as follows:  Committee  DEHEJIA TANDON  CHORE  MARATHE  KANNAN  Year  1969 1975  1980  1984  1997                              Major Recommendations  Appraisal of credit applications received by banks for granting loan.
2750,Banks must carry out the realize appraisal for granting loan Fixation of norms for bank lending to industry.
2751,No  bifurcation  of  cash  credit  accounts  separate  limits  for  peak level and non peak level requirements.
2752,"Second  method  of  lending  to  industry,  introduction  of  fast  track concept."
2753,"Regular conduct with the borrowers, periodical monitoring the credit disposition."
2754,MODEL QUESTIONS  1.
2755,What  is  working  capital?
2756,Define  it.
2757,2.
2758,Discuss  the  concept  of  working  capital?
2759,3.
2760,What  are  the  types  of  working  capital.
2761,4.
2762,Explain  the  needs  of  working  capital.
2763,5.
2764,Critically  explain  the  factors  affecting  the  requirement  of  working  capital.
2765,6.
2766,Explain  the  working  capital  management  policy.
2767,This page  intentionally left  blank  Management of Working Capital is also an important part of financial manager.
2768,The main objective of the Working Capital Management is managing the Current Asset and Current Liabilities effectively and maintaining adequate amount of both Current Asset and Current Liabilities.
2769,Simply it is called Administration of Current Asset and Current Liabilities of the business  concern.
2770,"Management of key components of working capital like cash, inventories and receivables assumes  paramount  importance  due  to  the  fact  the  major  potion  of  working  capital  gets blocked in these assets."
2771,"Meaning Working  capital  management  is  an  act  of  planning,  organizing  and  controlling  the components  of  working  capital  like  cash,  bank  balance  inventory,  receivables,  payables, overdraft and short-term loans."
2772,"Definition According to Smith  K.V,     Working capital management is concerned with the problems that  arise  in  attempting  to  manage  the  current  asset,  current  liabilities  and  the  inter- relationship that exist between them   ."
2773,"According to Weston  and  Brigham,     Working capital generally stands for excess of current assets over current liabilities."
2774,Working capital management therefore refers to all aspects of the administration of both current assets and current liabilities   .
2775,INVENTORY  MANAGEMENT Introduction Inventories constitute the most significant part of current assets of the business concern.
2776,It is also essential for smooth running of the business activities.
2777,"166  Financial Management  A proper planning of purchasing of raw material, handling, storing and recording is to be considered as a part of inventory management."
2778,"Inventory management means, management of  raw  materials  and  related  items."
2779,"Inventory  management  considers  what  to  purchase, how  to  purchase,  how  much  to  purchase,  from  where  to  purchase,  where  to  store  and when to use for production etc."
2780,Meaning The dictionary meaning of the inventory is stock of goods or a list of goods.
2781,"In accounting language,  inventory  means  stock  of  finished  goods."
2782,"In  a  manufacturing  point  of  view, inventory includes, raw material, work in process, stores, etc."
2783,Kinds of Inventories Inventories can be classified into five major categories.
2784,A.
2785,Raw  Material  It is basic and important part of inventories.
2786,These are goods which have not yet been  committed  to  production  in  a  manufacturing  business  concern.
2787,B.
2788,Work  in  Progress  These include those materials which have been committed to production process but  have  not  yet  been  completed.
2789,C. Consumables  These are the materials which are needed to smooth running of the manufacturing process.
2790,D. Finished  Goods  These  are  the  final  output  of  the  production  process  of  the  business  concern.
2791,It is  ready  for  consumers.
2792,"E. Spares  It  is  also  a  part  of  inventories,  which  includes  small  spares  and  parts."
2793,Objectives of Inventory Management Inventory  occupy  30   80%  of  the  total  current  assets  of  the  business  concern.
2794,It  is  also very  essential  part  not  only  in  the  field  of  Financial  Management  but  also  it  is  closely associated with production management.
2795,"Hence, in any working capital decision regarding the inventories, it will affect both financial and production function of the concern."
2796,"Hence, efficient management of inventories is an essential part of any kind of manufacturing process concern."
2797,The major objectives of the inventory management are as follows: (cid:127) To efficient and smooth production process.
2798,(cid:127) To maintain optimum inventory to maximize the profitability.
2799,(cid:127) To meet the seasonal demand of the products.
2800,Working Capital Management  167  (cid:127) To avoid price increase in future.
2801,(cid:127) To ensure the level and site of inventories required.
2802,(cid:127) To plan when to purchase and where to purchase (cid:127) To avoid both over stock and under stock of inventory.
2803,Techniques of  Inventory Management Inventory  management  consists  of  effective  control  and  administration  of  inventories.
2804,Inventory control refers to a system which ensures supply of required quantity and quality of inventories at the required time and at the same time prevent unnecessary investment in inventories.
2805,It needs the following important techniques.
2806,Inventory management techniques may be classified into various types:  Inventory Management Technique  Techniques Based on  Order Quantity  Techniques Based on  the Classification  Techniques Based on  the Records  ABC  Analysis  VED  Analysis  HML  Analysis  Aging  Schedule  Inventory Report  Inventory Budget  Determination of Stock Level  Determination  of Stock  Economic Order   Quality  Fig.
2807,11.1 Inventory Management Techniques  A.
2808,Techniques  based  on  the  order  quantity  of  Inventories  Order  quantity  of  inventories  can  be  determined  with  the  help  of  the  following techniques:  Stock Level Stock level is the level of stock which is maintained by the business concern at all times.
2809,"Therefore, the business concern must maintain optimum level of stock to smooth running of the business process."
2810,Different level of stock can be determined based on the volume of the  stock.
2811,168  Financial Management  Minimum Level The business concern must maintain minimum level of stock at all times.
2812,"If the stocks are less than the minimum level, then the work will stop due to shortage of material."
2813,Re-order Level Re-ordering level is fixed between minimum level and maximum level.
2814,Re-order level is the level when the business concern makes fresh order at this level.
2815,Re-order level=maximum consumption    maximum Re-order period.
2816,"Maximum Level It is the maximum limit of the quantity of inventories, the business concern must maintain."
2817,If the quantity exceeds maximum level limit then it will be overstocking.
2818,Maximum level = Re-order level + Re-order quantity      (Minimum consumption    Minimum delivery period)  Danger Level It is the level below the minimum level.
2819,It leads to stoppage of the production process.
2820,"Maximum re-order period for  Danger level=Average consumption                                 emergency purchase  Average Stock Level It is calculated such as,  Average stock level= Minimum stock level +                                          maximum level      of re-order quantity  75  500  Stock Level  25  10  0  Optimum Level/Re-order Level  Average Stock Level  Minimum Level  Danger Level  Time  Fig."
2821,11.2  Determining the Stock Level  Lead Time Lead time is the time normally taken in receiving delivery after placing orders with suppliers.
2822,The time taken in processing the order and then executing it is known as lead time.
2823,Working Capital Management  169  Safety Stock Safety stock implies extra inventories that can be drawn down when actual lead time and/ or usage rates are greater than expected.
2824,Safety stocks are determined by opportunity cost and  carrying  cost  of  inventories.
2825,"If  the  business  concerns  maintain  low  level  of  safety stock, it will lead to larger opportunity cost and the larger quantity of safety stock involves higher  carrying  costs."
2826,Economic Order Quantity (EOQ) EOQ refers to the level of inventory at which the total cost of inventory comprising ordering cost and carrying cost.
2827,Determining an optimum level involves two types of cost such as ordering cost and carrying cost.
2828,The EOQ is that inventory level that minimizes the total of ordering of carrying cost.
2829,"EOQ can be calculated with the help of the mathematical formula:  EOQ =  2ab/c  Where,  a = Annual usage of inventories (units) b = Buying cost per order c = Carrying cost per unit  Minimum Total Cost  Carrying Cost  Cost  Ordering Cost  Q  Order Size  Fig."
2830,11.3 Economic Order Quantity  Exercise  1 (a) Find  out  the  economic  order  quantity  and  the  number  of  orders  per  year  from  the  following  information: Annual  consumption: Purchase  price  per  units:  Rs.
2831,"54  36,000  units  170  Financial Management  Ordering  cost  per  order:  Rs."
2832,150 Inventory  carrying  cost  is  20%  of  the  average  inventory.
2833,"Solution  Inventory  =  2AO  C  A = 36,000  units O = Rs."
2834,"150 C = 20% of 54  10  8  2  36,000  150 = 1,000 units                                          EOQ = 1,000 units Exercise  2 From  the  following  information  calculate,  (1)  Re-order  level  (2)  Maximum  level  (3) Minimum level (4) Average level  Normal usage:  100 units per week Maximum usage: 150 units per week Minimum usage: 50 units per week Re-order quantity (EOQ) 500: units Log in time: 5 to 7 weeks Solution (1) Re-order  Level      =  Maximum  consumption      Maximum  Re-order  period    = 150  7=1050 units  (2) Maximum  Level  =  Re-order  level+Re-order  quantity         (  Minimum  consumption  Minimum  delivery  period)  =  1050 + 500     (50    5) = 1300 units  (3) Minimum  Level         =  Re-order  level       (Normal  consumption  Normal  delivery  period)   = 1050     (100    6 ) = 450 units      (4) Average  Level        =   Maximum level + Minimum level  2                       =  1300 + 450  2    =  875 units."
2835,Working Capital Management  171  TECHNIQUES BASED ON THE CLASSIFICATION OF INVENTORIES A-B-C analysis It  is  the  inventory  management  techniques  that  divide  inventory  into  three  categories based on the value and volume of the inventories; 10% of the inventory   s item contributs to 70% of value of consumption and this category is known as A category.
2836,About 20% of the  inventory  item  contributes  about  20%  of  value  of  consumption  and  this  category  is called category B and 70% of inventory item contributes only 10% of value of consumption and this category is called C category.
2837,Inventory Breakdown Between Value and Volume  Category  Volume (%)  Value (%)  A B C  Total  10 20 70 100  70 20 10 100  ABC analysis can be explained with the help of the following Graphical presentation.
2838,Value of   Inventory (%)  A  B  C  Volume of Inventory (%)  Fig.
2839,11.4 ABC Analysis  Aging Schedule of Inventories Inventories  are  classified  according  to  the  period  of  their  holding  and  also  this  method helps to identify the movement of the inventories.
2840,"Hence, it is also called as, FNSD analysis    where,  F  = Fast moving inventories N = Normal moving inventories S  = Slow moving inventories D = Dead moving inventories  172  Financial Management  This analysis is mainly calculated for the purpose of taking disposal decision of the  inventories."
2841,VED Analysis This  technique  is  ideally  suited  for  spare  parts  in  the  inventory  management  like  ABC analysis.
2842,Inventories  are  classified  into  three  categories  on  the  basis  of  usage  of  the inventories.
2843,"V = Vital item of inventories E = Essential item of inventories D = Desirable item of inventories  HML Analysis Under this analysis, inventories are classified into three categories on the basis of the value of the inventories."
2844,H = High value of inventories M = Medium value of inventories L = Low value of inventories  TECHNIQUES ON THE BASIS OF RECORDS A.
2845,Inventory budget It is a kind of functional budget which facilitates the estimated inventory required for the business  concern  during  a  particular  period.
2846,This  budget  is  prepared  based  on  the  past experience.
2847,B.
2848,"Inventory reports Preparation of periodical inventory reports provides information regarding the order level, quantity to be procured and all other information related to inventories."
2849,"On the basis of these  reports,  Management  takes  necessary  decision  regarding  inventory  control  and Management in the business concern."
2850,Valuation of Inventories Inventories  are  valued  at  different  methods  depending  upon  the  situation  and  nature  of manufacturing process.
2851,Some of the major methods of inventory valuation are mentioned as follows:  1.
2852,First  in  First  Out  Method  (FIFO) 2.
2853,Last  in  First  Out  Method  (LIFO) 3.
2854,Highest  in  First  Out  Method  (HIFO) 4.
2855,Nearest  in  First  Out  Method  (NIFO) 5.
2856,Average  Price  Method  Working Capital Management  173  6.
2857,Base  Stock  Method 7.
2858,Standard  Price  Method 8.
2859,"Market  Price  Method Exercise  3 From the particulars given below write up the stores ledger card : 1988 January 1, Opening stock 1,000 units at Rs."
2860,26 each.
